cat_init	nom complet	total	new_cat								
1.math.math-ra	Mathématiques [math]/Anneaux et algèbres [math.RA]	36	0.math	1.math.math-ra	36	0.math(36)	1.math.math-qa(5)	0.info(5)	1.math.math-ag(4)	1.math.math-nt(3)	1.math.math-gm(3)
1.math.math-rt	Mathématiques [math]/Théorie des représentations [math.RT]	47	0.math	1.math.math-rt	47	0.math(47)	1.math.math-nt(10)	1.math.math-gr(5)	1.math.math-at(5)	1.math.math-ct(5)	1.math.math-kt(3)
1.math.math-sg	Mathématiques [math]/Géométrie symplectique [math.SG]	23	0.math	1.math.math-sg	23	0.math(23)	1.math.math-gt(4)	1.math.math-gr(2)	1.math.math-dg(2)	1.math.math-ds(1)	1.math.math-ag(1)
1.math.math-sp	Mathématiques [math]/Théorie spectrale [math.SP]	24	0.math	1.math.math-sp	24	0.math(24)	1.math.math-dg(17)	0.phys(3)	1.math.math-mp(2)	1.phys.mphy(2)	1.math.math-gr(1)
1.math.math-st	Mathématiques [math]/Statistiques [math.ST]	879	0.math	1.math.math-st	879	0.math(879)	0.stat(551)	1.stat.th(524)	0.info(101)	1.math.math-pr(55)	0.shs(46)
1.nlin.nlin-ao	Science non linéaire [physics]/Adaptation et Systèmes auto-organisés [nlin.AO]	8	0.phys	1.nlin.nlin-ao	8	0.nlin(8)	0.info(5)	0.math(2)	1.info.info-ir(2)	0.shs(2)	1.shs.geo(1)
1.nlin.nlin-cd	Science non linéaire [physics]/Dynamique Chaotique [nlin.CD]	26	0.phys	1.nlin.nlin-cd	26	0.nlin(26)	0.spi(8)	0.phys(7)	1.phys.phys(5)	1.nlin.nlin-ps(4)	1.spi.tron(3)
1.nlin.nlin-cg	Science non linéaire [physics]/Automates cellulaires et gaz sur réseau [nlin.CG]	4	0.phys	1.nlin.nlin-cg	4	0.nlin(4)					
1.nlin.nlin-ps	Science non linéaire [physics]/Formation de Structures et Solitons [nlin.PS]	11	0.phys	1.nlin.nlin-ps	11	0.nlin(11)	0.spi(10)	1.spi.meca(5)	0.phys(5)	1.nlin.nlin-cd(4)	1.phys.phys(4)
1.nlin.nlin-si	Science non linéaire [physics]/Systèmes Solubles et Intégrables [nlin.SI]	1	0.phys	1.nlin.nlin-si	1	0.spi(1)	0.nlin(1)	1.spi.meca(1)	1.nlin.nlin-ps(1)		
1.phys.astr	Physique [physics]/Astrophysique [astro-ph]	116	0.phys	1.phys-atom.laser	1	1.phys-atom.oq(1)	0.phys-atom(1)				
1.phys.cond	Physique [physics]/Matière Condensée [cond-mat]	881	0.phys	1.phys-atom.oq	1	0.phys-atom(1)	1.phys-atom.laser(1)				
1.phys.grqc	Physique [physics]/Relativité Générale et Cosmologie Quantique [gr-qc]	7	0.phys	1.phys.astr	116	0.phys(109)	1.sdu.astr(75)	0.sdu(75)	1.phys.phys(16)	0.info(8)	1.info.info-ts(8)
1.phys.hexp	Physique [physics]/Physique des Hautes Energies - Expérience [hep-ex]	18	0.phys	1.phys.cond	881	0.phys(871)	0.spi(265)	1.spi.mat(108)	1.phys.phys(94)	0.chim(72)	1.spi.meca(70)
1.phys.hist	Physique [physics]/Articles anciens	15816	0.phys	1.phys.grqc	7	0.phys(7)	1.phys.mphy(3)	1.phys.qphy(2)	1.math.math-dg(2)	0.math(2)	1.sde.mcg(1)
